density,repetition,seed,algorithm,runtime_seconds,betti_number
0.1,175,176,recursive_basis,0.0035659999994095415,0
0.1,175,176,recursive_no_basis,0.0007924000092316419,0
0.1,175,176,general,0.010062299988931045,0
0.1,176,177,recursive_no_basis,0.0005073000211268663,0
0.1,176,177,general,0.007179999985964969,0
0.1,176,177,recursive_basis,0.0005084000003989786,0
0.1,177,178,general,0.007770299998810515,0
0.1,177,178,recursive_basis,0.0005429000011645257,0
0.1,177,178,recursive_no_basis,0.0005072999920230359,0
0.1,178,179,recursive_basis,0.0006528999947477132,0
0.1,178,179,recursive_no_basis,0.0007291999936569482,0
0.1,178,179,general,0.007738899992546067,0
0.1,179,180,recursive_no_basis,0.0005135999817866832,0
0.1,179,180,general,0.009353000001283363,0
